100.     25.
100.     25.
0.200    2.260    0.000      1
0.300    2.260    0.000      1
0.400    2.260    0.000      1
0.500    2.280    0.000      1
0.600    2.320    0.000      1
0.700    2.320    0.000      1
0.800    2.320    0.000      1
0.900    2.320    0.000      1
1.000    2.300    0.000      1
1.100    2.300    0.000      1
1.200    2.280    0.000      1
1.300    2.260    0.000      1
1.400    2.240    0.000      1
1.500    2.220    0.000      1
1.600    2.180    0.000      1
1.700    2.160    0.000      1
1.800    2.120    0.000      1
1.900    2.080    0.000      1
2.000    2.040    0.000      1
2.100    2.020    0.000      1
2.200    1.980    0.000      1
2.300    1.960    0.000      1
2.400    1.940    0.000      1
2.500    1.920    0.000      1
2.600    1.900    0.000      1
2.700    1.880    0.000      1
2.800    1.880    0.000      1
2.900    1.880    0.000      1
3.000    1.880    0.000      1
3.100    1.900    0.000      1
3.200    1.920    0.000      1
3.300    1.960    0.000      1
3.400    2.000    0.000      1
3.500    2.080    0.000      1
3.600    2.200    0.000      1
3.700    2.540    0.000      1
3.800    0.000    0.000      0
3.900    0.000    0.000      0
4.000    0.000    0.000      0
4.100    0.000    0.000      0
4.200    0.000    0.000      0
4.300    0.000    0.000      0
4.400    0.000    0.000      0
4.500    0.000    0.000      0
4.600    0.000    0.000      0
4.700    0.000    0.000      0
4.800    0.000    0.000      0
4.900    0.000    0.000      0
5.000    0.000    0.000      0
